# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'device': None, 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'fps': 30.0, 'duration': 60.0, 'kp': 60.0, 'kd': 1.5, 'clamp': 0.01, 'log': None, 'rerun': False, 'no_rerun': True, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': False}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.281,0,7.2,272.7,280.7,13,0.43428,0.11779,0.30889,-0.17784,1.42563,0.17194,0.02672,-0.1076,0.12011,-0.23785,0.10106,1.39718,-0.13217,0.2156,0.01076,0.26741,0.19862,-0.01753,1.00134,0.11757,0.063,0.0052,0.27111,-0.19943,0.01381,0.99944,-0.12819,0.08912,0.01076,-0.00213,0.00426,-0.01172,0.0178,0.01033,1.04701,0.00321,-0.25544,8.7246,-0.00735,0.0085,-1.27745,-0.00153,0.99135,-0.5,-0.01527,-0.23259,-4.6582,-0.01418,-0.01155,2.8125,-0.00171,0.00422,0.16779,0.012,0.50103,-5.97656,0.00307,0.27741,0.5,-0.01687,0.18849,1.25,-0.01074,-0.00751,0.125,0.01227,0.07304,-0.15,0.00153,0.10756,-0.0625,-0.01841,0.01521,-0.06875,-0.00264,-0.2787,12.00896,-0.0046,0.01793,-2.40364,0.0092,0.98951,-0.0625,-0.03163,-0.19101,6.94336,-0.01091,-0.00185,-5.09766,0.00171,0.00106,2.46094,0.00109,0.44773,-3.07617,-0.00153,0.28113,0.5625,0.02608,-0.18924,-1.5,0.00614,0.00383,0.0625,0.02454,0.07926,-0.075,0.02301,-0.11803,0.25,0.01227,0.01318,-0.025,0.012,-0.00206,-0.16779,5.0
0.3063,1,4.6,20.2,25.2,12,0.43153,0.11822,0.31796,-0.17764,1.42302,0.17085,0.02655,-0.10167,0.12354,-0.246,0.10037,1.3939,-0.13061,0.21314,0.00681,0.25741,0.20862,-0.02753,1.01134,0.12757,0.053,-0.0048,0.26111,-0.20943,0.02381,1.00944,-0.13061,0.09912,0.00681,-0.01065,0.00107,-0.00213,0.01763,0.01026,1.04703,0.00054,-0.25544,8.45745,-0.00092,0.00851,-1.22454,0.02454,0.99149,0.125,0.00982,-0.23258,-4.74609,-0.01091,-0.01156,2.8125,-0.00686,0.00419,0.11186,-0.01854,0.50101,-5.88867,-0.03221,0.27712,-0.375,-0.01994,0.18822,0.625,-0.0046,-0.00757,-0.3125,-0.04909,0.07312,-0.6,-0.0092,0.1074,0.25,-0.04909,0.01517,-0.5875,0.00382,-0.2787,11.91868,-0.01206,0.01793,-2.45611,0.01687,0.98967,0.4375,0.00654,-0.191,7.03125,0.00982,-0.00183,-5.09766,0.01886,0.00106,2.46094,0.0,0.44772,-3.25195,-0.02608,0.28068,-0.0625,0.02761,-0.18818,-1.0625,0.02301,0.00393,0.5625,0.06136,0.07952,0.5625,-0.03375,-0.11711,-0.5,-0.01841,0.01534,-0.25,-0.00686,-0.00206,-0.16779,5.0
0.3394,2,3.4,20.8,24.9,12,0.4194,0.1193,0.32347,-0.17625,1.4234,0.17007,0.02544,-0.09727,0.12537,-0.25137,0.09791,1.39571,-0.1278,0.20923,0.00201,0.24741,0.21862,-0.03753,1.02134,0.13757,0.043,-0.0148,0.25111,-0.21943,0.03381,1.01944,-0.1278,0.10912,0.00201,-0.0032,-0.0245,-0.01917,0.01747,0.01028,1.04705,0.00322,-0.25544,8.45745,-0.00551,0.0085,-1.22454,0.54456,1.004,-0.4375,0.0,-0.23258,-4.74609,-0.01091,-0.01156,2.90039,-0.00857,0.00418,0.11186,-0.01418,0.50101,-6.24023,-0.57371,0.26882,-0.125,-0.05522,0.18697,1.1875,-0.4065,-0.01142,-0.3125,-0.3068,0.06938,-0.575,0.44792,0.11357,0.125,-0.3927,0.00898,-0.28125,0.00163,-0.2787,11.91868,-0.00464,0.01793,-2.45611,0.51695,1.00252,-0.125,0.00436,-0.191,6.76758,0.01091,-0.00183,-5.09766,0.00857,0.00106,2.51687,0.0,0.44775,-3.33984,-0.36509,0.27121,0.0,-0.01381,-0.187,-1.4375,0.40037,0.00822,0.5,0.55223,0.08787,-0.16875,-0.316,-0.1274,0.0625,-0.19021,0.01273,-0.025,-0.024,-0.00213,-0.16779,5.0
0.3595,3,3.9,7.2,11.6,12,0.40314,0.11913,0.32732,-0.1748,1.42397,0.1685,0.02656,-0.09341,0.1287,-0.2557,0.09611,1.39554,-0.12508,0.207,-0.0003,0.23741,0.22862,-0.04753,1.03134,0.14757,0.033,-0.0248,0.24111,-0.22943,0.04381,1.02944,-0.12508,0.11912,-0.0003,-0.00746,-0.01491,-0.01172,0.01714,0.01032,1.04707,0.00484,-0.25543,8.27952,-0.00274,0.0085,-1.22396,0.56757,1.02083,-0.875,-0.01745,-0.23258,-4.83398,-0.00545,-0.01156,2.8125,0.01371,0.00418,0.11186,0.00218,0.50108,-6.41602,-0.66115,0.25796,0.0625,0.02301,0.18839,1.625,-0.62126,-0.0215,0.0,-0.42338,0.06522,-0.71875,0.52922,0.12268,0.0625,-0.38043,-0.00143,-0.30625,0.00264,-0.27864,11.7391,0.0046,0.01797,-2.45736,0.39117,1.0185,-0.3125,-0.03054,-0.19102,6.85547,-0.012,-0.00184,-5.09766,0.03428,0.0011,2.51687,0.00327,0.44782,-3.42773,-0.39884,0.2587,0.1875,-0.06903,-0.18754,-1.9375,0.61973,0.02427,-0.125,0.34361,0.09978,0.03125,0.03068,-0.12981,0.0,-0.1534,0.00902,-0.19375,0.00343,-0.00208,-0.16779,5.0
0.3983,4,4.4,12.1,17.0,11,0.38369,0.12129,0.33935,-0.17233,1.42045,0.1662,0.02591,-0.08508,0.13382,-0.26711,0.09168,1.38958,-0.12042,0.20039,-0.00687,0.22741,0.23862,-0.05753,1.04134,0.15757,0.02591,-0.0348,0.23111,-0.23943,0.05381,1.03944,-0.12042,0.12912,-0.00687,-0.0,-0.00426,-0.0032,0.0168,0.01026,1.047,-0.00217,-0.25542,8.1016,-0.0037,0.00851,-1.22338,0.31447,1.03676,-0.875,-0.02291,-0.23259,-4.83398,0.0,-0.01154,2.8125,0.02057,0.00419,0.16779,0.01091,0.50123,-6.50391,-0.27458,0.24516,-0.25,0.21169,0.19327,1.625,-0.3973,-0.03594,0.0,-0.26998,0.05025,-0.6375,0.33594,0.13664,0.0,-0.37429,-0.01423,-0.125,0.01014,-0.27839,11.47021,0.00083,0.01804,-2.40742,0.44025,1.03045,-0.4375,-0.036,-0.19101,6.67969,0.00109,-0.00183,-5.09766,0.00171,0.00106,2.5728,-0.02618,0.44776,-3.7793,-0.41111,0.24737,0.3125,-0.00307,-0.18824,-2.5625,0.3835,0.04154,-0.25,0.34361,0.11423,-0.25,0.01841,-0.12938,0.125,-0.01227,0.00709,-0.40625,0.00857,-0.0021,-0.16779,5.0
0.4596,5,4.9,38.3,44.7,10,0.37701,0.12314,0.34881,-0.16899,1.42114,0.16346,0.02438,-0.0812,0.13705,-0.27619,0.08816,1.39139,-0.11608,0.1955,-0.01166,0.21741,0.24862,-0.06753,1.05134,0.16346,0.02438,-0.0448,0.22111,-0.24943,0.06381,1.04944,-0.11608,0.13912,-0.01166,-0.00959,0.00107,-0.00107,0.01663,0.01029,1.04712,0.00106,-0.25541,7.92368,-0.00552,0.00853,-1.2228,0.3114,1.04413,-0.75,-0.00873,-0.23265,-5.00977,-0.00764,-0.01155,2.8125,-0.00514,0.00418,0.16779,-0.00436,0.50127,-6.67969,-0.27918,0.2376,-0.3125,0.17641,0.19864,1.9375,-0.51695,-0.04549,0.125,-0.25771,0.04198,-0.575,0.38963,0.14554,0.0,-0.24544,-0.024,-0.30625,0.00854,-0.27824,11.37897,-8e-05,0.01803,-2.56354,0.43412,1.04089,-0.5,-0.02945,-0.19102,6.67969,-0.01963,-0.00185,-4.83398,-0.00171,0.00107,2.46094,-0.012,0.44774,-3.7793,-0.21169,0.2373,0.0625,-0.14573,-0.1894,-2.9375,0.48474,0.05013,-0.25,0.22703,0.1222,0.10625,0.03682,-0.12788,0.25,-0.26998,0.0033,-0.16875,-0.00857,-0.00208,-0.16779,5.0
0.478,6,5.6,11.5,18.2,10,0.36821,0.12431,0.35326,-0.16747,1.4177,0.16262,0.02436,-0.07728,0.13844,-0.28123,0.08554,1.38729,-0.11425,0.1922,-0.01548,0.20741,0.25862,-0.07753,1.06134,0.16262,0.02436,-0.0548,0.21111,-0.25943,0.07381,1.05944,-0.11425,0.14912,-0.01548,-0.01065,0.00746,-0.00213,0.01675,0.0101,1.04728,0.00161,-0.25539,8.19083,-0.00276,0.00856,-1.27571,0.0905,1.04949,-0.125,-0.00654,-0.23286,-4.83398,0.00436,-0.01155,2.90039,-0.00343,0.00418,0.11186,-0.00873,0.50141,-6.5918,-0.14419,0.2321,-0.75,0.17948,0.20626,2.125,-0.11965,-0.05037,-0.6875,-0.14726,0.03471,-0.425,0.0675,0.14884,0.625,-0.24544,-0.02948,-0.69375,0.00323,-0.2781,11.64883,-0.00373,0.01817,-2.50982,0.08897,1.04676,0.1875,0.00873,-0.19101,6.67969,-0.02727,-0.00192,-4.74609,0.0,0.00106,2.29315,0.00109,0.44773,-3.25195,-0.17948,0.22689,0.0625,-0.2255,-0.19486,-3.0625,0.21476,0.061,0.0,0.19635,0.12889,0.425,0.02761,-0.12744,0.5,-0.07977,-0.00296,-0.425,0.00514,-0.00197,-0.27965,5.0
0.5085,7,4.2,10.0,15.2,9,0.35869,0.12598,0.37031,-0.16503,1.41888,0.16148,0.02348,-0.06756,0.14415,-0.29599,0.08186,1.38695,-0.11188,0.18703,-0.02506,0.19741,0.26862,-0.08753,1.07134,0.16148,0.02348,-0.0648,0.20111,-0.26943,0.08186,1.06944,-0.11188,0.15912,-0.02506,-0.00746,0.00426,-0.01491,0.01687,0.01003,1.04729,1e-05,-0.25539,8.27952,0.00184,0.00856,-1.22396,0.51849,1.06018,-0.75,-0.01091,-0.23292,-4.83398,0.00764,-0.01154,2.98828,0.00343,0.00418,0.16779,-0.00982,0.50142,-6.5918,-0.50008,0.21756,0.0,0.43105,0.21585,1.8125,-0.82835,-0.06662,0.5,0.0,0.03086,-0.4125,0.18868,0.15508,0.0625,-0.40497,-0.04196,-0.15,-0.00054,-0.2781,11.64883,0.00093,0.01817,-2.50982,0.41571,1.05707,-0.25,-0.00764,-0.19102,6.76758,-0.01091,-0.00194,-4.74609,0.01028,0.00104,2.29315,0.02291,0.44765,-3.25195,-0.45252,0.21612,0.4375,-0.28379,-0.20154,-3.1875,0.45713,0.07276,-0.4375,0.23317,0.13872,0.30625,0.16874,-0.12314,0.125,-0.12885,-0.00779,-0.25,-0.01543,-0.00189,-0.16779,5.0
0.551,8,4.1,19.3,24.5,8,0.34574,0.12672,0.37702,-0.16238,1.41859,0.15911,0.02408,-0.06337,0.14791,-0.30366,0.0769,1.38774,-0.10576,0.18085,-0.0296,0.18741,0.27862,-0.09753,1.08134,0.15911,0.02408,-0.06337,0.19111,-0.27943,0.0769,1.07944,-0.10576,0.16912,-0.0296,-0.01811,0.01172,-0.00746,0.01717,0.01002,1.04732,-0.00378,-0.25538,8.54721,-0.00278,0.00858,-1.38095,0.31753,1.07285,-0.6875,-0.00764,-0.23298,-4.74609,-0.01636,-0.01157,2.90039,0.00514,0.00418,0.11186,0.00654,0.50141,-6.50391,-0.35128,0.20577,-0.125,0.31293,0.22594,2.0,-0.49394,-0.07944,0.3125,0.0,0.03093,-0.46875,0.0046,0.15692,0.0625,-0.28839,-0.05641,-0.10625,-0.00531,-0.27809,11.73814,-0.00365,0.01816,-2.56103,0.3206,1.06674,-0.125,-0.03054,-0.19106,6.85547,-0.02836,-0.00194,-4.83398,0.00343,0.00104,2.29315,-0.01636,0.44757,-2.98828,-0.32981,0.20422,0.4375,-0.30526,-0.20986,-3.3125,0.24697,0.08191,-0.25,0.38043,0.15086,-0.05,0.03682,-0.11988,0.25,-0.12272,-0.01384,-0.4625,0.01714,-0.00189,-0.16779,5.0
0.5799,9,6.3,12.3,19.7,8,0.3375,0.12654,0.37946,-0.16313,1.41811,0.16117,0.02563,-0.05942,0.14851,-0.30491,0.07685,1.38931,-0.1077,0.18009,-0.03132,0.17741,0.28862,-0.10753,1.09134,0.16117,0.02563,-0.05942,0.18111,-0.28943,0.07685,1.08944,-0.1077,0.17912,-0.03132,-0.00746,0.01491,-0.00852,0.01743,0.00998,1.04735,-0.00271,-0.25537,8.72513,-0.00462,0.0086,-1.38153,0.32674,1.08061,-0.5,-0.00654,-0.2331,-4.6582,-0.00218,-0.01156,2.98828,0.02057,0.00419,0.11186,0.00873,0.50142,-6.41602,-0.35895,0.19689,-0.125,0.28225,0.2337,2.1875,-0.55684,-0.08781,0.3125,-0.01841,0.03034,-0.3375,0.01841,0.15659,0.0,-0.03682,-0.06189,-0.06875,-0.0005,-0.27807,11.91868,-0.00462,0.01818,-2.45611,0.46019,1.07574,-0.25,0.00218,-0.19106,6.85547,-0.01854,-0.00195,-4.83398,-0.01714,0.00103,2.40501,-0.012,0.44744,-2.63672,-0.34975,0.19417,0.375,-0.36662,-0.22028,-3.1875,-0.01687,0.08258,-0.125,0.19635,0.16006,0.30625,0.31293,-0.11559,0.0,-0.23317,-0.01883,-0.25,-0.01543,-0.00193,-0.16779,5.0
