# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'clamp': 0.01, 'duration': 30.0, 'fps': 30.0, 'device': None, 'rerun': True, 'no_rerun': False, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': True, 'log': None, 'kp': 60.0, 'kd': 1.5}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3065,0,3.8,302.1,306.3,12,0.41841,0.12624,0.28045,-0.17971,1.41032,0.20209,-0.04659,-0.03143,0.10111,-0.19886,0.11817,1.40749,-0.14724,0.20329,-0.02459,0.26795,0.19625,-0.01757,1.0019,0.10951,0.06306,0.00517,0.27133,-0.1973,0.01421,0.99948,-0.14724,0.07976,-0.02459,-0.00746,0.02024,-0.00213,0.01528,0.00918,1.0623,0.00107,-0.25641,8.51055,-0.00184,0.00759,-1.32879,0.0,0.99191,-0.4375,0.00327,-0.2396,-4.30664,-0.00654,-0.01085,2.90039,0.00857,0.00382,0.11186,-0.02291,0.51032,-7.73438,0.00614,0.27795,0.5,0.01227,0.18625,1.1875,0.00153,-0.00759,0.0625,0.0,0.07304,-0.1625,0.01227,0.09954,-0.125,0.0,0.01517,-0.05625,-0.00099,-0.28298,11.82937,-0.01109,0.01794,-2.4049,0.00153,0.9895,-0.0625,-0.01418,-0.18691,6.5918,0.00218,-0.00282,-4.57031,0.012,0.00228,2.12536,0.01636,0.45207,-3.42773,0.0,0.28134,0.625,0.00153,-0.1873,-1.5625,0.0,0.00421,0.125,-0.01227,0.06976,-0.025,0.00614,-0.14833,-0.1875,-0.01841,-0.01478,-0.39375,-0.00686,-0.00186,-0.11186,5.0
0.3565,1,4.5,24.0,29.7,11,0.41043,0.12749,0.2894,-0.1789,1.40905,0.20168,-0.0484,-0.02739,0.10385,-0.20522,0.1184,1.40546,-0.14745,0.19991,-0.02827,0.25795,0.20625,-0.02757,1.0119,0.11951,0.05306,-0.00483,0.26133,-0.20522,0.02421,1.00948,-0.14745,0.08976,-0.02827,-0.01172,-0.01065,-0.01065,0.01533,0.00919,1.06216,-0.00056,-0.25641,8.24174,-0.00829,0.00759,-1.27587,0.35742,0.99862,-0.4375,0.0,-0.2396,-4.39453,-0.00654,-0.01088,2.8125,0.02057,0.00379,0.11186,0.00436,0.51035,-7.73438,-0.12272,0.27426,-0.375,-0.02148,0.18528,0.5,-0.04602,-0.00918,-0.25,0.03682,0.07064,-0.50625,0.15953,0.10284,0.0625,-0.12272,0.01183,-0.26875,0.00111,-0.28297,11.82841,-0.00556,0.01793,-2.50857,0.4648,0.99651,-0.3125,-0.00218,-0.18691,6.41602,-0.01527,-0.00283,-4.6582,0.00343,0.00228,2.23722,-0.00873,0.45201,-3.95508,-0.18868,0.27651,0.0625,0.04909,-0.18613,-0.875,0.05062,0.00579,0.5625,0.12272,0.0736,0.1875,0.0,-0.14818,0.0,-0.26998,-0.01776,0.0,-0.02571,-0.00192,-0.16779,5.0
0.3992,2,3.7,26.5,30.6,11,0.39801,0.12837,0.29393,-0.17701,1.40904,0.19941,-0.04989,-0.02546,0.10535,-0.20855,0.1173,1.40627,-0.14485,0.19631,-0.03271,0.24795,0.21625,-0.03757,1.0219,0.12951,0.04306,-0.01483,0.25133,-0.20855,0.03421,1.01948,-0.14485,0.09976,-0.03271,-0.00107,-0.00746,-0.00533,0.01494,0.00912,1.06219,-0.00269,-0.2564,7.88368,-0.00462,0.00757,-1.2747,0.4019,1.01103,-0.625,0.012,-0.23957,-4.39453,-0.01636,-0.01086,2.98828,0.00857,0.00383,0.11186,0.0,0.51036,-8.08594,-0.14573,0.2658,-0.375,-0.02301,0.18373,1.1875,-0.36049,-0.01384,-0.125,-0.20862,0.06823,-0.6,0.27458,0.1091,0.0625,-0.33748,0.00598,-0.1625,0.00426,-0.28297,11.37994,0.00181,0.01795,-2.45988,0.37736,1.01047,-0.4375,0.0,-0.1869,6.32812,-0.01745,-0.00282,-4.6582,-0.00514,0.00224,2.12536,0.0,0.45209,-4.04297,-0.20555,0.26597,0.1875,-0.02148,-0.18323,-1.4375,0.67802,0.01263,-0.0625,0.17794,0.08325,0.175,-0.02761,-0.14809,0.0,-0.09817,-0.02451,-0.0375,-0.02057,-0.0019,-0.16779,5.0
0.4267,3,5.1,10.2,16.4,10,0.38183,0.1277,0.3042,-0.1753,1.40753,0.19865,-0.0509,-0.01878,0.11022,-0.21567,0.11488,1.40017,-0.14243,0.19516,-0.03735,0.23795,0.22625,-0.04757,1.0319,0.13951,0.03306,-0.01878,0.24133,-0.21567,0.04421,1.02948,-0.14243,0.10976,-0.03735,-0.01065,-0.00107,-0.00959,0.01458,0.00911,1.06223,0.00215,-0.25637,7.88422,0.00185,0.00754,-1.37879,0.43105,1.02571,-0.9375,0.00982,-0.23957,-4.48242,-0.012,-0.01086,2.90039,0.01028,0.0038,0.11186,-0.00654,0.51035,-8.26172,-0.31447,0.25454,-0.0625,0.01534,0.18547,1.625,-0.51082,-0.02752,0.3125,-0.40497,0.06149,-0.50625,0.42491,0.1176,0.0,-0.30066,-0.00437,-0.2,0.00105,-0.28294,11.37897,0.00184,0.01793,-2.56354,0.35435,1.02102,-0.4375,-0.00545,-0.18691,6.24023,-0.01636,-0.00282,-4.48242,0.00857,0.00226,2.12536,0.00545,0.45215,-4.21875,-0.20402,0.25701,0.0625,0.02148,-0.18251,-1.6875,0.52155,0.03003,-0.25,0.1534,0.09261,0.24375,-0.0046,-0.14769,0.0,-0.04909,-0.02652,-0.25,0.00171,-0.0019,-0.16779,5.0
0.4828,4,3.9,33.1,37.8,11,0.36779,0.12973,0.31733,-0.17172,1.40295,0.19425,-0.05234,-0.01191,0.11363,-0.22661,0.10986,1.39604,-0.13777,0.18746,-0.04401,0.22795,0.23625,-0.05757,1.0419,0.14951,0.02306,-0.01191,0.23133,-0.22567,0.05421,1.03948,-0.13777,0.11976,-0.04401,-0.00852,-0.0,-0.00426,0.01449,0.00916,1.06218,-0.00215,-0.25637,7.79444,-0.0037,0.00754,-1.32645,0.3068,1.03516,-0.75,-0.02182,-0.23958,-4.57031,-0.00545,-0.01086,2.98828,0.0,0.00378,0.11186,0.0,0.51035,-8.08594,-0.18101,0.24481,-0.3125,0.16414,0.18894,1.9375,-0.40497,-0.03636,0.0,-0.34361,0.04878,-0.44375,0.30986,0.12816,0.0625,-0.15953,-0.0116,-0.23125,0.00162,-0.28292,11.28966,-0.00279,0.01789,-2.51234,0.28839,1.02887,-0.25,-0.024,-0.18691,6.32812,-0.00436,-0.00282,-4.48242,0.00343,0.00225,2.12536,0.00109,0.45214,-4.30664,-0.33441,0.24811,0.1875,0.00153,-0.18199,-2.125,0.32214,0.04174,-0.25,0.27612,0.10189,0.08125,0.01074,-0.14703,0.0625,-0.11045,-0.02961,-0.2625,-0.06171,-0.00192,-0.11186,5.0
0.524,5,4.7,26.5,31.9,11,0.36069,0.13075,0.32916,-0.16837,1.40142,0.19286,-0.05522,-0.00406,0.11785,-0.23875,0.10597,1.39566,-0.13433,0.17927,-0.05042,0.21795,0.24625,-0.06757,1.0519,0.15951,0.01306,-0.00406,0.22133,-0.23567,0.06421,1.04948,-0.13433,0.12976,-0.05042,-0.00426,-0.0032,-0.01172,0.01456,0.00912,1.06221,0.00749,-0.25634,7.97346,-0.0018,0.00755,-1.32704,0.26691,1.04073,-0.4375,-0.00545,-0.23965,-4.48242,-0.02618,-0.0109,2.8125,0.00343,0.00382,0.16779,-0.01636,0.51033,-7.91016,-0.36662,0.23736,-0.1875,0.0675,0.19212,2.375,-0.35128,-0.04232,-0.25,-0.5461,0.04063,-0.29375,0.41111,0.13664,0.0625,0.0859,-0.01635,0.075,0.00109,-0.2829,11.55856,-0.00371,0.01789,-2.56228,0.23623,1.03558,0.0625,0.00327,-0.18691,6.32812,0.00654,-0.00283,-4.57031,0.00686,0.00228,2.23722,-0.02291,0.45212,-3.95508,-0.22703,0.23672,0.1875,-0.09511,-0.18242,-2.5625,0.27918,0.04562,0.3125,0.22089,0.11367,0.04375,0.22703,-0.14491,0.0,-0.2393,-0.03298,-0.275,-0.02057,-0.00174,-0.16779,5.0
0.5779,6,3.6,38.8,42.8,11,0.34335,0.13507,0.33709,-0.16514,1.39368,0.18792,-0.05704,0.00255,0.1199,-0.24677,0.10218,1.38873,-0.13169,0.17333,-0.0564,0.20795,0.25625,-0.07757,1.0619,0.16951,0.00306,0.00255,0.21133,-0.24567,0.07421,1.05948,-0.13169,0.13976,-0.0564,0.00213,0.00959,-0.01811,0.01474,0.00899,1.06222,0.0,-0.25635,8.15249,0.0,0.00759,-1.32762,0.38963,1.05033,-0.5625,0.01745,-0.23963,-4.39453,-0.00764,-0.01087,2.90039,0.01543,0.00379,0.11186,-0.00982,0.51035,-7.73438,-0.42491,0.22831,-0.125,0.27458,0.19963,2.25,-0.43872,-0.05407,-0.0625,-0.42338,0.02855,-0.30625,0.41878,0.14591,0.0625,0.22703,-0.01335,0.2125,4e-05,-0.28289,11.73814,-0.00555,0.01788,-2.56103,0.41571,1.0474,-0.3125,-0.03163,-0.18691,6.41602,-0.00327,-0.00284,-4.6582,0.00514,0.00226,2.23722,0.00982,0.45206,-4.04297,-0.3068,0.22562,0.3125,-0.27151,-0.18806,-2.625,0.73324,0.06112,-0.625,0.33134,0.12015,0.09375,0.19942,-0.14109,0.0,-0.41111,-0.03913,-0.0625,0.0,-0.00159,-0.16779,5.0
0.6082,7,5.4,10.6,16.9,11,0.33061,0.13563,0.35603,-0.16335,1.39478,0.18809,-0.05904,0.01236,0.12563,-0.26149,0.09806,1.38811,-0.12763,0.16808,-0.06535,0.19795,0.26625,-0.08757,1.0719,0.17951,-0.00694,0.01236,0.20133,-0.25567,0.08421,1.06948,-0.12763,0.14976,-0.06535,-0.00426,-0.00107,-0.00959,0.01512,0.009,1.06206,0.00053,-0.25633,8.60033,-0.00092,0.00758,-1.38112,0.26231,1.06446,-0.625,0.00545,-0.23967,-4.30664,-0.00218,-0.01087,2.98828,0.00343,0.00379,0.11186,0.00436,0.51035,-7.64648,-0.33594,0.2117,0.0625,0.18254,0.20992,2.3125,-0.25311,-0.07153,0.125,-0.36202,0.01777,-0.3625,0.55837,0.15726,-0.1875,0.14113,-0.00475,0.15625,4e-05,-0.28289,12.00896,-0.00555,0.01791,-2.40364,0.17948,1.0575,0.0,0.0,-0.18692,6.5918,0.00436,-0.00283,-4.57031,0.01543,0.00225,2.12536,-0.02291,0.45201,-3.42773,-0.18715,0.21211,0.375,-0.20095,-0.19649,-2.8125,0.19482,0.07319,-0.0625,0.19635,0.13431,0.03125,0.03528,-0.13794,0.1875,-0.01841,-0.04928,-0.34375,-0.01371,-0.00181,-0.16779,5.0
0.6559,8,3.5,27.3,31.3,8,0.32202,0.13886,0.3693,-0.16063,1.3927,0.18532,-0.0598,0.0194,0.13355,-0.27437,0.09019,1.3847,-0.12173,0.15965,-0.07312,0.18795,0.27625,-0.09757,1.0819,0.18532,-0.01694,0.0194,0.19133,-0.26567,0.09019,1.07948,-0.12173,0.15965,-0.07312,-0.00213,-0.00639,-0.01065,0.01532,0.00892,1.06208,-0.0011,-0.25634,8.77936,-0.00737,0.00759,-1.38171,0.26691,1.07068,-0.4375,0.00764,-0.23969,-4.21875,-0.00545,-0.01087,2.98828,-0.01714,0.00382,0.16779,0.00218,0.51033,-7.64648,-0.28225,0.20325,-0.0625,0.28839,0.21706,2.375,-0.43412,-0.08074,0.375,-0.39884,0.00594,-0.2125,0.31293,0.16772,0.125,0.29452,0.00247,0.10625,-0.00107,-0.28289,12.09827,1e-05,0.0179,-2.45485,0.41264,1.0651,-0.125,-0.01963,-0.18694,6.5918,-0.02182,-0.00283,-4.48242,-0.00857,0.00226,2.12536,0.00545,0.45203,-3.33984,-0.38196,0.20542,0.375,-0.27765,-0.20293,-2.875,0.42645,0.08226,-0.3125,0.20862,0.1393,0.31875,0.14113,-0.13461,0.0625,-0.16567,-0.0542,-0.40625,-0.01371,-0.00187,-0.16779,5.0
0.7041,9,4.4,30.7,36.1,9,0.31434,0.14002,0.3867,-0.1559,1.3912,0.18323,-0.06097,0.02955,0.13999,-0.28853,0.0834,1.38385,-0.11615,0.15046,-0.0826,0.17795,0.28625,-0.10757,1.0919,0.18323,-0.02694,0.0294,0.18133,-0.27567,0.0834,1.08948,-0.11615,0.15046,-0.0826,-0.00213,-0.00426,-0.01704,0.01547,0.00899,1.06204,-0.00108,-0.25632,9.04763,-0.00185,0.00762,-1.33055,0.33901,1.07687,-0.3125,-0.00109,-0.2397,-4.13086,0.00436,-0.01086,3.07617,0.00343,0.00379,0.11186,-0.00982,0.51034,-7.4707,-0.28532,0.19326,-0.0625,0.27305,0.22717,2.4375,-0.31907,-0.09065,0.1875,-0.43565,-0.00404,-0.1625,0.35435,0.17616,0.0,0.33134,0.00944,0.0875,-0.0027,-0.28288,12.36812,0.00465,0.0179,-2.40113,0.44485,1.07644,-0.25,-0.03491,-0.18695,6.67969,-0.02618,-0.00283,-4.48242,0.02057,0.00224,2.12536,0.02182,0.45202,-3.16406,-0.32214,0.19437,0.375,-0.29913,-0.21194,-2.9375,0.27151,0.08615,0.0,0.46633,0.15281,-0.25,0.19635,-0.12935,0.0,-0.27612,-0.06075,-0.33125,-0.012,-0.00192,-0.16779,5.0
