# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'clamp': 0.01, 'duration': 20.0, 'fps': 30.0, 'device': None, 'rerun': True, 'no_rerun': False, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': True, 'log': None, 'kp': 60.0, 'kd': 1.5}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3013,0,3.8,296.3,300.5,13,0.43407,0.10438,0.22629,-0.21002,1.42497,0.21932,-0.02396,-0.09528,0.06188,-0.18223,0.1486,1.39051,-0.16648,0.243,0.02146,0.26765,0.19697,-0.01711,1.0009,0.11722,0.06307,0.00576,0.27161,-0.18223,0.01472,0.99949,-0.15471,0.05751,-0.00441,-0.01065,0.0032,-0.01172,0.01248,0.00832,0.97843,0.0011,-0.26531,9.21545,-0.01106,0.02887,-2.52204,0.0,0.9909,-0.5625,-0.00545,-0.22696,-4.83398,0.0,-0.03369,6.24023,-0.01886,0.01306,-1.17454,-0.00982,0.50824,-8.87695,0.00153,0.27764,0.5,-0.01381,0.18695,1.125,0.01227,-0.00709,0.0625,0.0,0.07307,-0.175,-0.01994,0.10721,-0.0625,0.01841,0.01577,-0.08125,-0.0005,-0.27753,10.92605,-0.00277,0.0223,-2.99444,-0.00307,0.98949,-0.0625,-0.03927,-0.19106,6.32812,0.00109,-0.0004,-5.27344,0.00171,1e-05,2.06942,-0.00218,0.45267,-2.46094,-0.00153,0.28161,0.5625,-0.00307,-0.18832,-1.625,0.01227,0.00472,0.0625,0.0,0.04751,0.0,-0.01227,-0.14471,0.0625,0.0,-0.01442,-0.40625,0.00514,-0.00179,-0.16779,5.0
0.342,1,4.3,13.7,19.0,13,0.42414,0.10654,0.23487,-0.20815,1.423,0.21846,-0.02597,-0.09166,0.06424,-0.18947,0.14863,1.39017,-0.16562,0.2403,0.01843,0.25765,0.20697,-0.02711,1.0109,0.12722,0.05307,-0.00424,0.26161,-0.18947,0.02472,1.00949,-0.16471,0.06751,0.00559,-0.01278,-0.0032,0.00426,0.01239,0.00827,0.97846,0.00485,-0.26531,8.85762,-0.00829,0.02887,-2.52307,0.34975,0.99886,-0.5,-0.00327,-0.22691,-5.09766,-0.00873,-0.0337,6.32812,0.0,0.01306,-1.23047,-0.00218,0.50822,-9.22852,-0.2255,0.27326,-0.1875,-0.01841,0.18616,0.5,-0.02148,-0.00871,-0.25,0.01227,0.07069,-0.49375,0.07823,0.11017,0.125,-0.05522,0.0123,-0.375,0.0,-0.27754,10.4766,0.0,0.02228,-3.05097,0.48781,0.99796,-0.4375,-0.02618,-0.19102,6.06445,0.0,-0.00037,-5.09766,-0.012,0.0,2.06942,-0.00327,0.45268,-2.63672,-0.27458,0.27608,0.25,0.15953,-0.1832,-0.3125,-0.01687,0.0055,0.75,0.07977,0.05069,0.3375,-0.10738,-0.1499,-0.3125,0.10431,-0.00872,0.1375,0.00343,-0.00178,-0.16779,5.0
0.3829,2,3.6,17.2,21.3,11,0.41073,0.10864,0.23793,-0.20621,1.42257,0.21717,-0.02787,-0.0884,0.06559,-0.19203,0.14742,1.39163,-0.16358,0.23694,0.01424,0.24765,0.21697,-0.03711,1.0209,0.13722,0.04307,-0.01424,0.25161,-0.19203,0.03472,1.01949,-0.16358,0.07751,0.01424,-0.0032,-0.01385,0.00426,0.01203,0.00838,0.9785,0.00809,-0.26508,8.76813,-0.01935,0.02854,-2.47131,0.40804,1.01184,-0.75,-0.01854,-0.22689,-5.09766,0.012,-0.03359,6.15234,-0.00686,0.01292,-1.11861,-0.00545,0.50822,-9.22852,-0.27458,0.26483,-0.1875,0.07363,0.1864,0.9375,-0.29759,-0.01393,-0.25,-0.10431,0.06757,-0.74375,0.27305,0.1174,0.0625,-0.35588,0.00464,-0.04375,-0.00214,-0.27755,10.56687,2e-05,0.02229,-2.99821,0.42491,1.01207,-0.5,-0.00982,-0.19103,6.06445,0.0,-0.00021,-5.27344,-0.00514,4e-05,2.12536,0.00218,0.45278,-2.98828,-0.33134,0.26464,0.375,0.07363,-0.17723,-0.9375,0.59212,0.01284,0.0,0.3068,0.0619,-0.11875,-0.27765,-0.1554,-0.3125,0.25157,-0.00199,0.09375,0.00857,-0.00181,-0.16779,5.0
0.4286,3,3.8,28.6,33.5,11,0.39911,0.10928,0.2406,-0.20516,1.42288,0.21534,-0.02768,-0.08631,0.06859,-0.19619,0.14591,1.39024,-0.16092,0.23641,0.01242,0.23765,0.22697,-0.04711,1.0309,0.14722,0.03307,-0.02424,0.24161,-0.19619,0.04472,1.02949,-0.16092,0.08751,0.01242,0.00107,-0.0,-0.00426,0.01169,0.00852,0.9785,0.01021,-0.26491,8.49973,-0.00829,0.02841,-2.42007,0.48627,1.02378,-0.9375,-0.01091,-0.22689,-5.27344,0.0,-0.03354,6.06445,-0.04114,0.01283,-1.11861,0.00436,0.50822,-9.4043,-0.38503,0.25472,0.0,0.11812,0.18806,1.4375,-0.41111,-0.02254,-0.1875,-0.43565,0.06264,-0.5875,0.54763,0.12503,-0.125,-0.17181,-0.00204,-0.49375,0.00382,-0.27755,10.20674,-0.00836,0.02226,-3.10562,0.3068,1.02046,-0.25,-0.01963,-0.19105,5.88867,-0.01527,-0.00015,-5.27344,-0.00514,1e-05,2.18129,0.00109,0.45281,-3.16406,-0.22089,0.25671,0.125,0.21476,-0.17338,-1.5625,0.41417,0.02819,0.0,0.17181,0.0711,0.15,-0.11351,-0.16188,-0.0625,0.41724,0.00568,-0.05,0.00343,-0.00181,-0.22372,5.0
0.4671,4,3.6,16.5,20.8,11,0.38644,0.11077,0.24968,-0.20503,1.42031,0.21593,-0.02871,-0.0795,0.07088,-0.20382,0.14518,1.38596,-0.16078,0.23219,0.00654,0.22765,0.23697,-0.05711,1.0409,0.15722,0.02307,-0.03424,0.23161,-0.20382,0.05472,1.03949,-0.16078,0.09751,0.00654,-0.00639,-0.0032,-0.00746,0.01158,0.00862,0.97867,0.0054,-0.26485,8.4103,-0.0129,0.02841,-2.47234,0.19175,1.03387,-0.5625,-0.00654,-0.22694,-5.18555,0.00764,-0.03352,6.15234,0.00857,0.01284,-1.17454,0.0,0.50823,-9.31641,-0.19175,0.24351,-0.1875,0.14726,0.19227,1.6875,-0.30833,-0.03544,-0.125,-0.24544,0.04828,-0.5625,0.29913,0.13675,0.0625,-0.25771,-0.01408,-0.26875,0.00489,-0.27754,10.38632,-0.00837,0.02228,-3.10374,0.29913,1.02979,-0.25,0.02836,-0.19105,5.88867,-0.03491,-0.00022,-5.18555,0.03085,1e-05,2.12536,0.00545,0.45287,-2.98828,-0.31753,0.24595,0.3125,0.18101,-0.16388,-2.25,0.25464,0.04324,-0.125,0.14726,0.08185,0.125,-0.04909,-0.16581,0.25,0.09204,0.01402,-0.16875,0.012,-0.00165,-0.22372,5.0
0.5033,5,4.6,17.1,22.6,12,0.37762,0.11408,0.26505,-0.2012,1.41863,0.21349,-0.03075,-0.07071,0.07582,-0.21703,0.14231,1.38611,-0.15676,0.22333,-0.0006,0.21765,0.24697,-0.06711,1.0509,0.16722,0.01307,-0.04424,0.22161,-0.21382,0.06472,1.04949,-0.15676,0.10751,-0.0006,0.00213,0.01172,-0.00426,0.01176,0.00859,0.97867,-0.00267,-0.26485,8.58922,-0.00277,0.02844,-2.47183,0.33134,1.04101,-0.5625,-0.012,-0.22698,-5.27344,-0.00109,-0.03357,6.24023,0.024,0.01298,-1.23047,-0.00764,0.50823,-9.49219,-0.23163,0.23589,-0.3125,0.20709,0.1982,1.875,-0.41878,-0.04343,-0.0625,-0.38656,0.03976,-0.425,0.47553,0.14401,0.0,-0.24544,-0.02325,-0.29375,0.00435,-0.27754,10.29701,-0.00744,0.02228,-3.05286,0.44332,1.03792,-0.3125,0.00109,-0.19105,5.88867,0.0,-0.00033,-5.18555,0.00171,-3e-05,2.12536,-0.00327,0.45285,-3.07617,-0.35588,0.23601,0.375,-0.05062,-0.16126,-2.625,0.52922,0.05135,-0.375,0.20862,0.09067,0.08125,-0.02301,-0.16581,0.1875,-0.14726,0.01261,-0.0875,-0.036,-0.0017,-0.16779,5.0
0.5346,6,4.7,13.7,19.0,11,0.365,0.11728,0.26927,-0.1989,1.41555,0.21272,-0.03226,-0.06573,0.07535,-0.22173,0.13901,1.3836,-0.15452,0.22045,-0.00566,0.20765,0.25697,-0.07711,1.0609,0.17722,0.00307,-0.05424,0.21161,-0.22173,0.07472,1.05949,-0.15452,0.11751,-0.00566,0.00639,-0.00533,-0.00639,0.01182,0.00851,0.97854,0.00108,-0.26485,8.49978,-0.00184,0.02844,-2.52409,0.36969,1.05055,-0.5625,-0.00982,-0.22701,-5.18555,-0.01418,-0.03357,6.24023,0.00343,0.013,-1.2864,0.00436,0.50824,-9.31641,-0.44179,0.22789,-0.125,0.33594,0.20754,1.75,-0.27305,-0.05307,-0.25,-0.34975,0.02921,-0.48125,0.40957,0.15251,0.1875,-0.30066,-0.03134,-0.3625,-0.00435,-0.27753,10.29701,0.00744,0.02229,-3.05286,0.41724,1.04863,-0.375,0.00109,-0.19103,5.97656,-0.02291,-0.00038,-5.18555,-0.00171,-1e-05,2.06942,-0.00764,0.45281,-3.07617,-0.37122,0.22532,0.375,-0.16414,-0.16434,-2.8125,0.50775,0.06434,-0.5,0.34975,0.09826,0.06875,0.01687,-0.16505,0.3125,-0.16567,0.00831,-0.3,-0.00514,-0.00174,-0.22372,5.0
0.5678,7,3.7,14.2,18.8,12,0.35314,0.12103,0.2893,-0.19605,1.41562,0.21261,-0.03201,-0.05519,0.08162,-0.23886,0.1356,1.38411,-0.15245,0.21282,-0.01642,0.19765,0.26697,-0.08711,1.0709,0.18722,-0.00693,-0.05519,0.20161,-0.23173,0.08472,1.06949,-0.15245,0.12751,-0.01566,-0.00213,-0.00639,0.00213,0.01189,0.0084,0.97853,-0.00215,-0.26484,8.58927,0.00369,0.02844,-2.57584,0.5553,1.06249,-1.0,-0.02182,-0.22701,-5.09766,-0.00873,-0.03357,6.32812,0.01543,0.01299,-1.23047,-0.00654,0.50822,-9.49219,-0.37736,0.21696,-0.125,0.41264,0.2185,1.5625,-0.68876,-0.06694,0.5,-0.43565,0.02113,-0.50625,0.55377,0.16436,-0.125,-0.37429,-0.04292,-0.1625,-0.00421,-0.27754,10.38632,-0.00551,0.02228,-3.10374,0.33134,1.05751,-0.1875,-0.02618,-0.19104,5.97656,-0.00327,-0.00036,-5.27344,0.00343,-3e-05,2.12536,-0.012,0.45281,-2.90039,-0.38503,0.21479,0.5,-0.19788,-0.1684,-3.0625,0.39117,0.07348,-0.3125,0.52155,0.1088,-0.18125,0.0721,-0.16363,0.25,-0.20862,0.00428,-0.2375,0.01543,-0.00166,-0.16779,5.0
0.6063,8,3.7,19.7,24.0,12,0.34338,0.12429,0.29954,-0.19336,1.41494,0.20991,-0.03258,-0.0479,0.08916,-0.25146,0.12982,1.38419,-0.14655,0.20518,-0.02667,0.18765,0.27697,-0.09711,1.0809,0.19722,-0.01693,-0.0479,0.19161,-0.24173,0.09472,1.07949,-0.14655,0.13751,-0.02566,0.0032,-0.00107,-0.01385,0.01194,0.00849,0.97859,0.00216,-0.26484,8.58927,-0.00553,0.02844,-2.57584,0.29913,1.07156,-0.5625,-0.00982,-0.22706,-5.09766,-0.00218,-0.03356,6.24023,-0.02057,0.01291,-1.23047,-0.012,0.50822,-9.31641,-0.3252,0.20527,-0.125,0.32981,0.22977,1.5625,-0.34821,-0.07615,-0.0625,-0.48474,0.00941,-0.28125,0.45866,0.17406,0.0,-0.1534,-0.05077,-0.05625,0.00219,-0.27754,10.38632,-0.00557,0.02228,-3.10374,0.34821,1.06646,-0.1875,0.00982,-0.1911,5.88867,-0.00436,-0.00033,-5.18555,0.01371,-3e-05,2.12536,-0.00218,0.45281,-2.90039,-0.33287,0.20498,0.375,-0.25157,-0.17462,-3.1875,0.33748,0.08323,-0.25,0.26384,0.11903,0.1375,0.10891,-0.15943,0.0625,-0.25157,-0.00531,-0.25,-0.01371,-0.00162,-0.16779,5.0
0.6363,9,4.5,12.4,17.9,11,0.3357,0.12459,0.30454,-0.19186,1.41436,0.21059,-0.03335,-0.04563,0.08861,-0.25334,0.12973,1.38425,-0.14749,0.20342,-0.02644,0.17765,0.28697,-0.10711,1.0909,0.20722,-0.02693,-0.04563,0.18161,-0.25173,0.10472,1.08949,-0.14749,0.14751,-0.02644,-0.00746,0.01385,-0.01065,0.01213,0.00845,0.97857,0.00269,-0.26485,8.85762,-0.00461,0.02845,-2.52307,0.4019,1.07865,-0.5625,0.0,-0.22709,-5.09766,0.00982,-0.03356,6.24023,0.01028,0.01299,-1.23047,-0.00545,0.50822,-9.22852,-0.32827,0.19615,-0.1875,0.24544,0.23863,1.75,-0.43105,-0.08412,-0.0625,-0.43565,-0.00129,-0.29375,0.47707,0.18432,0.0,0.12885,-0.05115,0.0,-0.00105,-0.27754,10.4766,-0.00184,0.02228,-3.05097,0.47093,1.0757,-0.25,0.00327,-0.19107,6.06445,-0.01418,-0.00039,-5.09766,-0.01714,-4e-05,2.06942,0.00327,0.45276,-2.54883,-0.3927,0.19552,0.4375,-0.39884,-0.18462,-3.0,0.49854,0.08888,-0.125,0.31907,0.12871,0.09375,0.26691,-0.15523,0.0,-0.23317,-0.01329,-0.38125,-0.00343,-0.00178,-0.16779,5.0
