# args: {'layout': '14d', 'policy': '/home/waldo/soccerbot/model4/pretrained_model', 'iface': 'enp5s0', 'camera': 'zmq://192.168.123.164:55555', 'clamp': 0.01, 'duration': 20.0, 'fps': 30.0, 'device': None, 'rerun': True, 'no_rerun': False, 'record_path': None, 'no_display': False, 'dry_run': False, 'image_no_motors': False, 'leave_arms_engaged': True, 'log': None, 'kp': 60.0, 'kd': 1.5}
t,step,cam_ms,policy_ms,loop_ms,clamp_hits,max_target_gap,target_kLeftShoulderPitch,target_kLeftShoulderRoll,target_kLeftShoulderYaw,target_kLeftElbow,target_kLeftWristRoll,target_kLeftWristPitch,target_kLeftWristYaw,target_kRightShoulderPitch,target_kRightShoulderRoll,target_kRightShoulderYaw,target_kRightElbow,target_kRightWristRoll,target_kRightWristPitch,target_kRightWristYaw,cmd_kLeftShoulderPitch,cmd_kLeftShoulderRoll,cmd_kLeftShoulderYaw,cmd_kLeftElbow,cmd_kLeftWristRoll,cmd_kLeftWristPitch,cmd_kLeftWristYaw,cmd_kRightShoulderPitch,cmd_kRightShoulderRoll,cmd_kRightShoulderYaw,cmd_kRightElbow,cmd_kRightWristRoll,cmd_kRightWristPitch,cmd_kRightWristYaw,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.pitch,imu.roll,imu.yaw,kLeftAnklePitch.dq,kLeftAnklePitch.q,kLeftAnklePitch.tau,kLeftAnkleRoll.dq,kLeftAnkleRoll.q,kLeftAnkleRoll.tau,kLeftElbow.dq,kLeftElbow.q,kLeftElbow.tau,kLeftHipPitch.dq,kLeftHipPitch.q,kLeftHipPitch.tau,kLeftHipRoll.dq,kLeftHipRoll.q,kLeftHipRoll.tau,kLeftHipYaw.dq,kLeftHipYaw.q,kLeftHipYaw.tau,kLeftKnee.dq,kLeftKnee.q,kLeftKnee.tau,kLeftShoulderPitch.dq,kLeftShoulderPitch.q,kLeftShoulderPitch.tau,kLeftShoulderRoll.dq,kLeftShoulderRoll.q,kLeftShoulderRoll.tau,kLeftShoulderYaw.dq,kLeftShoulderYaw.q,kLeftShoulderYaw.tau,kLeftWristPitch.dq,kLeftWristPitch.q,kLeftWristPitch.tau,kLeftWristRoll.dq,kLeftWristRoll.q,kLeftWristRoll.tau,kLeftWristYaw.dq,kLeftWristYaw.q,kLeftWristYaw.tau,kRightAnklePitch.dq,kRightAnklePitch.q,kRightAnklePitch.tau,kRightAnkleRoll.dq,kRightAnkleRoll.q,kRightAnkleRoll.tau,kRightElbow.dq,kRightElbow.q,kRightElbow.tau,kRightHipPitch.dq,kRightHipPitch.q,kRightHipPitch.tau,kRightHipRoll.dq,kRightHipRoll.q,kRightHipRoll.tau,kRightHipYaw.dq,kRightHipYaw.q,kRightHipYaw.tau,kRightKnee.dq,kRightKnee.q,kRightKnee.tau,kRightShoulderPitch.dq,kRightShoulderPitch.q,kRightShoulderPitch.tau,kRightShoulderRoll.dq,kRightShoulderRoll.q,kRightShoulderRoll.tau,kRightShoulderYaw.dq,kRightShoulderYaw.q,kRightShoulderYaw.tau,kRightWristPitch.dq,kRightWristPitch.q,kRightWristPitch.tau,kRightWristRoll.dq,kRightWristRoll.q,kRightWristRoll.tau,kRightWristYaw.dq,kRightWristYaw.q,kRightWristYaw.tau,kWaistYaw.dq,kWaistYaw.q,kWaistYaw.tau,mode_machine
0.3245,0,3.8,320.1,324.3,12,0.43528,0.07756,0.27646,-0.21859,1.42562,0.24681,-0.01381,-0.03355,0.09945,-0.19262,0.14867,1.37704,-0.18621,0.22709,-0.01089,0.26636,0.19057,-0.01785,1.00034,0.10935,0.02371,0.005,0.27069,-0.19262,0.01337,0.99848,-0.15415,0.05736,-0.01089,-0.00533,0.0032,-0.00852,0.02293,0.0111,1.09094,0.00321,-0.241,7.00668,-0.00918,-0.00448,0.0308,-0.0046,0.99034,-0.5,0.0,-0.23865,-4.6582,-0.01091,0.00484,0.70312,0.00857,0.00087,0.5593,0.01309,0.48892,-3.86719,-0.01534,0.27636,0.5625,-0.02148,0.18058,1.1875,0.01227,-0.00785,0.125,-0.03682,0.0337,-0.06875,0.00614,0.09937,-0.125,0.01841,0.015,-0.05625,-0.00312,-0.26614,11.9091,-0.01473,0.01053,-1.74716,-0.0046,0.98849,-0.125,-0.04145,-0.19142,7.20703,-0.00218,0.01005,-7.73438,0.0,-0.0005,3.46768,-0.00109,0.43078,-2.46094,-0.01074,0.28065,0.6875,0.0,-0.19649,-1.25,0.0092,0.00339,0.0625,0.0,0.04739,-0.0125,-0.00307,-0.14416,0.0625,-0.01841,-0.01572,-0.3,-0.012,-0.00249,-0.11186,5.0
0.3708,1,4.4,17.4,22.6,12,0.42386,0.07713,0.28285,-0.21828,1.42281,0.24617,-0.01434,-0.02533,0.10251,-0.19977,0.14928,1.37439,-0.18551,0.22368,-0.01562,0.25636,0.20057,-0.02785,1.01034,0.11935,0.01371,-0.005,0.26069,-0.19977,0.02337,1.00848,-0.16415,0.06736,-0.01562,0.0032,-0.00533,0.0032,0.02253,0.01102,1.09096,-0.0038,-0.241,7.18455,-0.00645,-0.00449,-0.07404,0.36969,0.99895,-0.5625,-0.00327,-0.23865,-4.6582,-0.00327,0.00484,0.70312,0.01714,0.00086,0.44744,0.00109,0.48892,-3.60352,-0.20249,0.27175,-0.1875,-0.02608,0.17952,0.5,-0.03375,-0.00961,-0.25,-0.00614,0.03097,-0.46875,0.14113,0.1034,0.0,-0.03682,0.0114,-0.35,0.00105,-0.26613,12.0891,0.00368,0.01054,-1.64211,0.43105,0.99681,-0.3125,-0.04363,-0.19141,7.20703,0.00218,0.01005,-7.73438,-0.01886,-0.0005,3.46768,-0.00109,0.43079,-2.54883,-0.33287,0.27458,0.3125,0.11658,-0.19298,-0.25,0.03375,0.00482,0.5625,0.04909,0.05073,0.31875,-0.12579,-0.14966,-0.1875,0.14726,-0.01745,0.2,0.00857,-0.0025,-0.16779,5.0
0.4047,2,3.2,18.7,22.5,12,0.41512,0.07771,0.28751,-0.21652,1.42337,0.24521,-0.01592,-0.01998,0.10368,-0.20497,0.14813,1.37678,-0.18249,0.21827,-0.02114,0.24636,0.21057,-0.03785,1.02034,0.12935,0.00371,-0.015,0.25069,-0.20497,0.03337,1.01848,-0.17415,0.07736,-0.02114,-0.00213,-0.00533,-0.0032,0.02224,0.01105,1.09098,0.00108,-0.24099,6.91823,-0.00183,-0.00448,-0.02108,0.44179,1.00824,-0.625,0.00764,-0.23865,-4.74609,-0.00109,0.00484,0.70312,0.02057,0.00076,0.50337,-0.00764,0.48892,-3.95508,-0.22243,0.26491,-0.3125,-0.00614,0.17859,1.1875,-0.39884,-0.0136,-0.125,-0.25157,0.02892,-0.5625,0.36509,0.10863,0.0,-0.3252,0.00672,-0.23125,0.00485,-0.26613,11.72982,-0.00649,0.01052,-1.74824,0.3973,1.00797,-0.3125,-0.024,-0.19146,6.94336,-0.00327,0.01012,-7.64648,0.0,-0.0005,3.46768,-0.00764,0.43091,-2.72461,-0.26691,0.26575,0.1875,0.08744,-0.18864,-0.9375,0.36816,0.00808,0.5,0.28225,0.05984,0.06875,-0.3114,-0.15297,-0.375,-0.03682,-0.01335,-0.0625,-0.00171,-0.00245,-0.16779,5.0
0.4411,3,4.7,20.0,25.6,10,0.40136,0.07837,0.29168,-0.21504,1.4234,0.24326,-0.01646,-0.01831,0.10498,-0.20961,0.14759,1.37573,-0.1815,0.21842,-0.02204,0.23636,0.22057,-0.04785,1.03034,0.13935,-0.00629,-0.01831,0.24069,-0.20961,0.04337,1.02848,-0.1815,0.08736,-0.02204,-0.00746,-0.00639,-0.00426,0.02191,0.01109,1.09098,-0.00111,-0.241,6.47499,-0.01104,-0.0045,-0.07188,0.52922,1.02204,-0.9375,0.01636,-0.23862,-4.83398,0.01636,0.00484,0.70312,0.02914,0.00076,0.50337,0.00654,0.48894,-4.13086,-0.3881,0.25419,0.0,0.02301,0.18039,1.625,-0.68109,-0.02683,0.375,-0.40497,0.02396,-0.6375,0.50161,0.11582,0.0,-0.33748,-0.00306,-0.24375,0.00269,-0.26614,11.37053,-0.00279,0.01051,-1.85437,0.37889,1.01876,-0.3125,-0.00654,-0.19146,7.03125,-0.01091,0.01012,-7.64648,-0.00857,-0.0005,3.52362,0.00436,0.43102,-3.07617,-0.26384,0.25676,0.125,0.04449,-0.18737,-1.1875,0.59058,0.02517,-0.25,0.24544,0.07056,0.09375,-0.60439,-0.16428,0.0625,-0.03068,-0.01379,-0.34375,-0.01714,-0.00246,-0.11186,5.0
0.4756,4,3.1,21.6,26.0,10,0.38797,0.07889,0.30018,-0.2142,1.41979,0.24261,-0.01666,-0.00902,0.10845,-0.21904,0.14517,1.37186,-0.17876,0.2108,-0.02899,0.22636,0.23057,-0.05785,1.04034,0.14935,-0.01629,-0.00902,0.23069,-0.21904,0.05337,1.03848,-0.17876,0.09736,-0.02899,-0.01172,0.01172,-0.00959,0.02171,0.01108,1.09095,-0.00487,-0.24101,6.20866,-0.00278,-0.00448,-0.01892,0.32827,1.03182,-0.6875,0.00873,-0.23866,-5.00977,-0.00764,0.00484,0.70312,0.00514,0.0008,0.5593,-0.02073,0.48895,-4.21875,-0.47553,0.24535,0.0,0.02454,0.18192,2.125,-0.43105,-0.03418,-0.0625,-0.58291,0.01502,-0.49375,0.50775,0.1252,0.0625,-0.27612,-0.01128,0.0,0.00432,-0.26614,11.37053,-0.00741,0.01051,-1.85437,0.20555,1.02587,0.0,-0.01527,-0.19147,7.03125,0.00218,0.01009,-7.64648,-0.01543,-0.00052,3.57955,-0.00873,0.43102,-2.98828,-0.32674,0.24836,0.125,0.12118,-0.18313,-1.8125,0.52155,0.03723,-0.125,0.3068,0.07901,0.01875,-0.33134,-0.17258,-0.1875,-0.09204,-0.01429,-0.2875,-0.01543,-0.00238,-0.22372,5.0
0.5049,5,4.6,11.8,17.4,11,0.37802,0.07989,0.31423,-0.21107,1.4178,0.24105,-0.01896,0.00229,0.11227,-0.23298,0.14179,1.37201,-0.17621,0.2018,-0.0378,0.21636,0.24057,-0.06785,1.05034,0.15935,-0.01896,0.00098,0.22069,-0.22904,0.06337,1.04848,-0.17621,0.10736,-0.0378,0.00639,0.00426,0.00426,0.02169,0.01107,1.09104,0.0086,-0.24101,6.47451,-0.01467,-0.00448,0.03242,0.32827,1.03979,-0.5625,0.00218,-0.23869,-5.00977,-0.00436,0.00475,0.70312,0.01886,0.00086,0.50337,-0.00982,0.48895,-4.04297,-0.32981,0.23554,-0.1875,0.18101,0.18528,2.3125,-0.59058,-0.04612,0.1875,-0.34975,0.00056,-0.49375,0.4648,0.13703,0.0,0.07363,-0.01448,0.16875,-0.00047,-0.26613,11.45981,-0.01014,0.0105,-1.90581,0.35282,1.03662,-0.1875,-0.0589,-0.19149,7.03125,-0.02836,0.0099,-7.64648,-0.00686,-0.0005,3.52362,0.00218,0.43102,-2.98828,-0.27612,0.23642,0.1875,-0.04449,-0.18063,-2.375,0.42184,0.04647,0.0,0.28225,0.09006,0.04375,-0.03835,-0.17752,-0.125,-0.3068,-0.01825,-0.15625,-0.00343,-0.00241,-0.16779,5.0
0.5534,6,3.6,28.5,32.5,9,0.36666,0.08025,0.31864,-0.21079,1.41515,0.24076,-0.01952,0.00712,0.11273,-0.23729,0.14069,1.36873,-0.17582,0.19827,-0.04196,0.20636,0.25057,-0.07785,1.06034,0.16935,-0.01952,0.00712,0.21069,-0.23729,0.07337,1.05848,-0.17582,0.11736,-0.04196,-0.00639,0.00213,-0.00533,0.02181,0.01098,1.09103,-0.00055,-0.24102,6.47499,-0.0046,-0.00447,-0.07188,0.37736,1.04849,-0.5,-0.01963,-0.23875,-4.74609,0.0,0.00468,0.70312,-0.01028,0.00091,0.50337,-0.00109,0.48896,-4.13086,-0.36049,0.22686,-0.25,0.19328,0.18951,2.625,-0.64274,-0.05754,0.375,-0.26384,-0.00899,-0.2,0.48627,0.14658,0.0,0.3068,-0.0089,0.14375,-0.00476,-0.26614,11.54908,-0.00827,0.01052,-1.95725,0.43718,1.04798,-0.4375,-0.00436,-0.19146,7.03125,0.00764,0.00982,-7.73438,0.00171,-0.00047,3.57955,0.03382,0.431,-2.8125,-0.40804,0.22605,0.375,-0.19482,-0.18363,-2.5625,0.73478,0.06014,-0.625,0.34975,0.09845,0.01875,-0.02301,-0.17773,0.0,-0.22703,-0.02802,-0.225,-0.00343,-0.00241,-0.16779,5.0
0.6117,7,3.7,35.3,39.6,11,0.35426,0.08064,0.33301,-0.2085,1.41558,0.23994,-0.02082,0.01781,0.11608,-0.25194,0.13852,1.37155,-0.17154,0.19105,-0.05163,0.19636,0.26057,-0.08785,1.07034,0.17935,-0.02082,0.01712,0.20069,-0.24729,0.08337,1.06848,-0.17154,0.12736,-0.05163,-0.00533,0.00426,-0.02237,0.02225,0.01089,1.09119,0.00109,-0.24102,7.00716,0.00184,-0.00447,-0.0735,0.34054,1.06132,-0.6875,0.036,-0.23891,-4.74609,0.00654,0.00471,0.79102,-0.00857,0.00087,0.50337,0.00654,0.48894,-3.86719,-0.40037,0.20899,0.25,0.18254,0.19808,2.625,-0.27918,-0.07331,0.1875,-0.06136,-0.01292,-0.31875,0.43258,0.15788,-0.0625,0.17794,-0.00062,0.16875,-0.00592,-0.26613,11.81909,0.0065,0.01055,-1.79968,0.15647,1.05798,-0.0625,0.02618,-0.19156,7.11914,-0.00436,0.00982,-7.64648,0.00686,-0.00048,3.46768,0.01963,0.4308,-2.46094,-0.22089,0.21204,0.375,-0.25924,-0.19129,-2.5,0.3973,0.07225,-0.375,0.16567,0.11281,0.03125,0.0,-0.17767,0.0,-0.0859,-0.03394,-0.34375,-0.01714,-0.00244,-0.16779,5.0
0.6646,8,3.8,28.1,32.6,10,0.34582,0.0816,0.34224,-0.20775,1.41327,0.24047,-0.02181,0.0263,0.12056,-0.26265,0.13371,1.37064,-0.16845,0.18361,-0.05785,0.18636,0.27057,-0.09785,1.08034,0.18935,-0.02181,0.0263,0.19069,-0.25729,0.09337,1.07848,-0.16845,0.13736,-0.05785,-0.01065,0.02344,-0.00639,0.02308,0.01092,1.09099,-0.00323,-0.24101,7.53885,0.0055,-0.00446,0.02917,0.12425,1.06745,-0.125,0.00109,-0.23895,-4.57031,0.012,0.0047,0.70312,0.0,0.00092,0.50337,-0.00109,0.48891,-3.33984,-0.25617,0.19452,0.25,0.22243,0.20848,2.625,-0.30833,-0.08335,0.25,-0.01841,-0.01538,-0.35,0.17181,0.16931,0.25,0.16567,0.00808,0.275,0.00274,-0.26613,12.53693,-0.01016,0.01053,-1.69138,0.26231,1.06691,-0.0625,0.012,-0.19154,7.4707,-0.00654,0.00985,-7.73438,-0.00857,-0.0005,3.46768,-0.00764,0.43056,-1.8457,-0.21169,0.20108,0.4375,-0.26538,-0.20367,-2.375,0.316,0.08176,-0.25,0.20862,0.12085,0.08125,0.00307,-0.17625,0.125,-0.31293,-0.04209,-0.0375,-0.05828,-0.00281,-0.16779,5.0
0.71,9,3.8,31.6,36.2,9,0.34232,0.08144,0.34252,-0.20724,1.41444,0.24072,-0.02143,0.02742,0.12024,-0.26387,0.13417,1.3725,-0.16816,0.18172,-0.0583,0.17636,0.28057,-0.10785,1.09034,0.19935,-0.02143,0.02742,0.18069,-0.26387,0.10337,1.08848,-0.16816,0.14736,-0.0583,-0.00213,0.01065,-0.00639,0.02349,0.01087,1.09087,0.00594,-0.24101,7.98257,-0.00273,-0.00445,-0.02433,0.28685,1.07212,0.0,0.0,-0.23897,-4.39453,0.00327,0.0047,0.79102,0.01028,0.00091,0.50337,-0.00109,0.48885,-3.25195,-0.23317,0.18706,0.125,0.25617,0.21593,2.75,-0.39884,-0.09089,0.1875,-0.12885,-0.01621,-0.175,0.51542,0.17713,-0.0625,0.38656,0.01553,0.025,0.00276,-0.26613,12.71621,-0.01385,0.01052,-1.69029,0.40804,1.07298,-0.0625,-0.01418,-0.19155,7.64648,0.01745,0.0099,-7.73438,0.0,-0.00048,3.46768,0.024,0.43049,-1.58203,-0.1488,0.19329,0.1875,-0.27612,-0.21181,-2.5,0.30526,0.0847,0.25,0.33748,0.12841,0.09375,0.23623,-0.17374,-0.125,-0.26384,-0.04995,-0.075,-0.012,-0.00301,-0.16779,5.0
