t,mode_machine,kLeftShoulderPitch.q,kLeftShoulderPitch.dq,kLeftShoulderPitch.tau,kLeftShoulderRoll.q,kLeftShoulderRoll.dq,kLeftShoulderRoll.tau,kLeftShoulderYaw.q,kLeftShoulderYaw.dq,kLeftShoulderYaw.tau,kLeftElbow.q,kLeftElbow.dq,kLeftElbow.tau,kLeftWristRoll.q,kLeftWristRoll.dq,kLeftWristRoll.tau,kLeftWristPitch.q,kLeftWristPitch.dq,kLeftWristPitch.tau,kLeftWristYaw.q,kLeftWristYaw.dq,kLeftWristYaw.tau,kRightShoulderPitch.q,kRightShoulderPitch.dq,kRightShoulderPitch.tau,kRightShoulderRoll.q,kRightShoulderRoll.dq,kRightShoulderRoll.tau,kRightShoulderYaw.q,kRightShoulderYaw.dq,kRightShoulderYaw.tau,kRightElbow.q,kRightElbow.dq,kRightElbow.tau,kRightWristRoll.q,kRightWristRoll.dq,kRightWristRoll.tau,kRightWristPitch.q,kRightWristPitch.dq,kRightWristPitch.tau,kRightWristYaw.q,kRightWristYaw.dq,kRightWristYaw.tau,kLeftHipPitch.q,kLeftHipPitch.dq,kLeftHipPitch.tau,kLeftHipRoll.q,kLeftHipRoll.dq,kLeftHipRoll.tau,kLeftHipYaw.q,kLeftHipYaw.dq,kLeftHipYaw.tau,kLeftKnee.q,kLeftKnee.dq,kLeftKnee.tau,kLeftAnklePitch.q,kLeftAnklePitch.dq,kLeftAnklePitch.tau,kLeftAnkleRoll.q,kLeftAnkleRoll.dq,kLeftAnkleRoll.tau,kRightHipPitch.q,kRightHipPitch.dq,kRightHipPitch.tau,kRightHipRoll.q,kRightHipRoll.dq,kRightHipRoll.tau,kRightHipYaw.q,kRightHipYaw.dq,kRightHipYaw.tau,kRightKnee.q,kRightKnee.dq,kRightKnee.tau,kRightAnklePitch.q,kRightAnklePitch.dq,kRightAnklePitch.tau,kRightAnkleRoll.q,kRightAnkleRoll.dq,kRightAnkleRoll.tau,kWaistYaw.q,kWaistYaw.dq,kWaistYaw.tau,imu.roll,imu.pitch,imu.yaw,imu.gyro_x,imu.gyro_y,imu.gyro_z
0.0,5.0,0.2789807915687561,0.0015339808305725455,1.6875,0.1287105828523636,0.006135923322290182,1.125,-0.025490447878837585,0.0076699042692780495,0.625,0.9840007424354553,-0.004601942375302315,-0.9375,0.09968478232622147,-0.00920388475060463,0.0625,0.012223909609019756,0.0,-0.08124999701976776,-0.022973759099841118,0.006135923322290182,0.0625,0.2791126072406769,-0.010737866163253784,2.0,-0.13008876144886017,-0.004601942375302315,-1.3125,-0.0057524279691278934,-0.0015339808305725455,0.1875,0.98177170753479,0.0,-0.5,-0.2069436013698578,-0.015339808538556099,0.0625,-0.016658073291182518,-0.012271846644580364,0.09375,0.02960103563964367,0.006135923322290182,-0.08749999850988388,-0.27777665853500366,0.0032724926713854074,-3.603515625,-0.0035077054053545,-0.007635816000401974,0.17578125,0.033881496638059616,0.027426602318882942,-4.865944862365723,0.6430788040161133,-0.00436332356184721,-11.07421875,-0.4508835971355438,0.004995078779757023,8.899068832397461,-0.003954022191464901,-0.0017855337355285883,-0.018983086571097374,-0.2489207684993744,-0.00436332356184721,-7.119140625,-0.00015339808305725455,-0.005454154219478369,-0.263671875,-0.008932393975555897,0.0,1.5101207494735718,0.6202139854431152,0.006544985342770815,-4.658203125,-0.493759423494339,0.00198478065431118,11.473945617675781,0.007222000975161791,-0.0037408657371997833,-0.47326651215553284,0.0014597165863960981,0.020569952204823494,-0.5593039989471436,0.02767987735569477,0.11081562936306,2.485977347532753e-05,-0.0074568502604961395,0.0021305286791175604,-0.011717907153069973
0.02105380900002274,5.0,0.2789807915687561,0.0015339808305725455,1.75,0.12868660688400269,-0.013805828057229519,1.125,-0.025490447878837585,0.0,0.625,0.9840007424354553,0.012271846644580364,-1.0,0.09966081380844116,0.0015339808305725455,0.0625,0.012223909609019756,0.0,-0.08124999701976776,-0.02298574335873127,-0.006135923322290182,0.0625,0.2791126072406769,0.013805828057229519,1.9375,-0.13008876144886017,0.01840776950120926,-1.375,-0.0057284594513475895,0.006135923322290182,0.1875,0.9817597270011902,-0.003067961661145091,-0.5,-0.2069436013698578,-0.016873789951205254,0.0625,-0.016658073291182518,-0.006135923322290182,0.09375,0.02960103563964367,0.012271846644580364,-0.08749999850988388,-0.27777665853500366,0.011999139562249184,-3.603515625,-0.003499181941151619,0.0,0.263671875,0.03389488905668259,0.037711579352617264,-4.921875,0.6430873274803162,0.002181661780923605,-11.07421875,-0.45088744163513184,0.005923309829086065,9.090463638305664,-0.003946809098124504,-0.011083202436566353,-0.020498396828770638,-0.24893781542778015,0.0,-7.119140625,-0.00015339808305725455,0.00436332356184721,-0.263671875,-0.0089190024882555,0.015427465550601482,1.5101207494735718,0.6202054619789124,0.011999139562249184,-4.658203125,-0.493759423494339,-0.001442162087187171,11.473945617675781,0.007222000975161791,-0.0027539569418877363,-0.47326651215553284,0.0014463247498497367,-0.0017141626449301839,-0.5033735632896423,0.0276572797447443,0.11081844568252563,3.5183020372642204e-05,-0.0010652643395587802,0.0031957929022610188,-0.0074568502604961395
0.04009669900005974,5.0,0.2789807915687561,0.0,1.75,0.1287105828523636,0.004601942375302315,1.125,-0.025490447878837585,0.0,0.625,0.9840127229690552,0.006135923322290182,-0.9375,0.09964883327484131,0.0,0.0625,0.012223909609019756,0.0,-0.08124999701976776,-0.022973759099841118,0.006135923322290182,0.0625,0.2791126072406769,0.0076699042692780495,2.0,-0.13011273741722107,0.006135923322290182,-1.375,-0.0057404437102377415,0.0015339808305725455,0.1875,0.98177170753479,-0.003067961661145091,-0.5,-0.2069436013698578,-0.013805828057229519,0.0625,-0.016646089032292366,0.006135923322290182,0.09375,0.02961301989853382,0.01840776950120926,-0.08749999850988388,-0.27777665853500366,-0.0010908308904618025,-3.603515625,-0.003499181941151619,0.0010908308904618025,0.263671875,0.03390828147530556,0.027426602318882942,-4.865944862365723,0.6430788040161133,-0.01854412443935871,-11.07421875,-0.4508875608444214,0.0034552644938230515,8.995558738708496,-0.0039613558910787106,-0.006465201731771231,-0.07121964544057846,-0.2489207684993744,0.011999139562249184,-7.119140625,-0.00016192019393201917,-0.0032724926713854074,-0.263671875,-0.008945786394178867,-0.015427465550601482,1.5101207494735718,0.6202054619789124,0.00436332356184721,-4.658203125,-0.49375566840171814,0.00198478065431118,11.473945617675781,0.007229170296341181,-0.0037408657371997833,-0.47326651215553284,0.0014463247498497367,0.0051424880512058735,-0.5033735632896423,0.027693621814250946,0.11087942868471146,6.257811764953658e-05,-0.0063915858045220375,-0.0,-0.010652642697095871
0.06029959399984364,5.0,0.2789807915687561,-0.003067961661145091,1.75,0.12868660688400269,-0.003067961661145091,1.0625,-0.025490447878837585,-0.00920388475060463,0.625,0.9840007424354553,0.0,-1.0,0.09968478232622147,0.0,0.0625,0.012223909609019756,-0.012271846644580364,-0.08124999701976776,-0.02298574335873127,-0.006135923322290182,0.0625,0.27912458777427673,-0.0015339808305725455,2.0,-0.13008876144886017,-0.012271846644580364,-1.3125,-0.0057524279691278934,-0.0076699042692780495,0.1875,0.98177170753479,-0.004601942375302315,-0.5,-0.2069436013698578,-0.00920388475060463,0.0625,-0.016658073291182518,-0.012271846644580364,0.09375,0.029589051380753517,0.0,-0.08749999850988388,-0.27777665853500366,0.007635816000401974,-3.603515625,-0.0034906603395938873,-0.00872664712369442,0.263671875,0.03390828147530556,0.04113990440964699,-4.865944862365723,0.6430788040161133,-0.0010908308904618025,-11.07421875,-0.4508835971355438,-0.0020039300434291363,8.995558738708496,-0.003954022191464901,-3.083331466768868e-05,-0.07121964544057846,-0.2489207684993744,0.00436332356184721,-7.119140625,-0.00015339808305725455,-0.007635816000401974,-0.17578125,-0.008905611000955105,0.03428325429558754,1.4541903734207153,0.6202139854431152,0.002181661780923605,-4.658203125,-0.493759423494339,0.000496195163577795,11.473945617675781,0.007222000975161791,-0.0009352164342999458,-0.47326651215553284,0.0014329327968880534,-0.010284976102411747,-0.4474431872367859,0.027663113549351692,0.11088653653860092,8.214259287342429e-05,-0.0031957929022610188,0.010652642697095871,-0.010652642697095871
0.08016025799997806,5.0,0.27896878123283386,0.0,1.75,0.1287105828523636,0.0,1.125,-0.025490447878837585,0.0,0.5625,0.9840127229690552,-0.0015339808305725455,-0.9375,0.09968478232622147,-0.003067961661145091,0.0625,0.012223909609019756,0.0,-0.08124999701976776,-0.02298574335873127,-0.006135923322290182,0.0625,0.2791126072406769,-0.015339808538556099,2.0,-0.13008876144886017,0.010737866163253784,-1.375,-0.0057404437102377415,0.006135923322290182,0.1875,0.98177170753479,0.0,-0.5,-0.2069436013698578,-0.004601942375302315,0.0625,-0.016658073291182518,-0.01840776950120926,0.09375,0.02961301989853382,0.006135923322290182,-0.08749999850988388,-0.27777665853500366,-0.0010908308904618025,-3.603515625,-0.003499181941151619,0.014180801808834076,0.17578125,0.03390828147530556,0.023998279124498367,-4.865944862365723,0.643095850944519,0.0,-11.07421875,-0.4508835971355438,0.0010019650217145681,9.090463638305664,-0.003954022191464901,1.541665733384434e-05,-0.020498396828770638,-0.2489207684993744,0.0032724926713854074,-7.119140625,-0.0001704423048067838,-0.01308997068554163,-0.263671875,-0.008905611000955105,0.029140764847397804,1.5101207494735718,0.6202225089073181,0.005454154219478369,-4.658203125,-0.493759423494339,-0.004357435274869204,11.473945617675781,0.007222000975161791,-0.004555467050522566,-0.47326651215553284,0.0014597165863960981,-0.013713301159441471,-0.4474431872367859,0.027703914791345596,0.11093367636203766,0.00013956335897091776,-0.0063915858045220375,-0.0010652643395587802,-0.010652642697095871
0.10015027600002213,5.0,0.27896878123283386,-0.004601942375302315,1.75,0.12869858741760254,0.0,1.0625,-0.025490447878837585,0.004601942375302315,0.625,0.9840007424354553,-0.0076699042692780495,-0.9375,0.09969677031040192,0.0,0.0625,0.012235893867909908,0.012271846644580364,-0.08124999701976776,-0.02298574335873127,-0.006135923322290182,0.0625,0.2791126072406769,0.003067961661145091,2.0,-0.13008876144886017,0.013805828057229519,-1.3125,-0.0057284594513475895,0.015339808538556099,0.1875,0.9817836880683899,0.0076699042692780495,-0.5,-0.20693162083625793,-0.012271846644580364,0.0625,-0.016646089032292366,0.0,0.09375,0.029589051380753517,0.0,-0.08749999850988388,-0.27778518199920654,0.002181661780923605,-3.515625,-0.003499181941151619,-0.014180801808834076,0.263671875,0.033881496638059616,-0.0068566505797207355,-4.865944862365723,0.6430788040161133,0.002181661780923605,-11.07421875,-0.4508835971355438,-0.00460469676181674,8.995558738708496,-0.003954022191464901,-0.012176387012004852,-0.07121964544057846,-0.24893781542778015,-0.01308997068554163,-7.119140625,-0.00016192019393201917,-0.005454154219478369,-0.17578125,-0.008932393975555897,0.0,1.5101207494735718,0.6202054619789124,0.0032724926713854074,-4.658203125,-0.493759423494339,0.0005116696702316403,11.473945617675781,0.007222000975161791,-0.0027884184382855892,-0.47326651215553284,0.0014597165863960981,-0.011999139562249184,-0.5033735632896423,0.027699057012796402,0.11093185096979141,0.00017041595128830522,-0.0021305286791175604,0.008522114716470242,-0.0074568502604961395
0.12013468099985403,5.0,0.2789807915687561,-0.006135923322290182,1.75,0.12868660688400269,-0.006135923322290182,1.125,-0.025490447878837585,0.00920388475060463,0.625,0.9840007424354553,0.0015339808305725455,-0.9375,0.09968478232622147,-0.00920388475060463,0.0625,0.012223909609019756,0.0,-0.08124999701976776,-0.022973759099841118,0.02454369328916073,0.0625,0.27912458777427673,0.0,2.0,-0.13008876144886017,-0.00920388475060463,-1.3125,-0.0057284594513475895,0.0,0.25,0.98177170753479,-0.003067961661145091,-0.5,-0.2069436013698578,-0.0076699042692780495,0.0625,-0.016646089032292366,0.0,0.09375,0.029589051380753517,0.006135923322290182,-0.08749999850988388,-0.27777665853500366,0.010908308438956738,-3.603515625,-0.003499181941151619,0.0,0.263671875,0.03390828147530556,0.04285406693816185,-4.921875,0.6430873274803162,-0.002181661780923605,-11.07421875,-0.4508914053440094,-0.002512285951524973,8.995558738708496,-0.003954142797738314,-0.0009698501089587808,-0.07121964544057846,-0.2489207684993744,0.011999139562249184,-7.119140625,-0.0001448759576305747,-0.00872664712369442,-0.17578125,-0.008932393975555897,0.0017141626449301839,1.5101207494735718,0.6202139854431152,0.005454154219478369,-4.658203125,-0.493759423494339,0.00099239032715559,11.473945617675781,0.007222000975161791,-0.0018704328685998917,-0.47326651215553284,0.0014597165863960981,-0.0017141626449301839,-0.5033735632896423,0.027650360018014908,0.11096280068159103,0.00020282002515159547,-0.0074568502604961395,0.0031957929022610188,-0.008522114716470242
0.14029623799979163,5.0,0.2789807915687561,0.0015339808305725455,1.75,0.12868660688400269,-0.01840776950120926,1.125,-0.025490447878837585,0.003067961661145091,0.5625,0.9840127229690552,-0.010737866163253784,-0.9375,0.09966081380844116,-0.015339808538556099,0.0625,0.012223909609019756,-0.006135923322290182,-0.06875000149011612,-0.02298574335873127,-0.006135923322290182,0.0625,0.27912458777427673,0.0015339808305725455,2.0,-0.13008876144886017,0.0,-1.3125,-0.0057284594513475895,0.013805828057229519,0.1875,0.98177170753479,0.012271846644580364,-0.5,-0.2069436013698578,0.0,0.0625,-0.016646089032292366,0.0,0.09375,0.02960103563964367,0.006135923322290182,-0.08749999850988388,-0.27777665853500366,0.0010908308904618025,-3.603515625,-0.003499181941151619,-0.011999139562249184,0.263671875,0.03389488905668259,0.015427465550601482,-4.921875,0.6430873274803162,0.002181661780923605,-11.07421875,-0.4508837163448334,-4.424013968673535e-05,8.995558738708496,-0.003968569450080395,-0.005587851162999868,-0.07121964544057846,-0.2489207684993744,0.0010908308904618025,-7.119140625,-0.0001448759576305747,0.005454154219478369,-0.263671875,-0.008932393975555897,-0.008570813573896885,1.5101207494735718,0.6202054619789124,0.0,-4.658203125,-0.493759423494339,-0.0009614413720555604,11.473945617675781,0.007222000975161791,-0.0018359713722020388,-0.47326651215553284,0.0014463247498497367,-0.010284976102411747,-0.5033735632896423,0.0276129599660635,0.11100048571825027,0.00022463795903604478,-0.014913700520992279,0.0053263213485479355,-0.011717907153069973
0.16013689800001885,5.0,0.2789807915687561,-0.004601942375302315,1.75,0.12868660688400269,-0.013805828057229519,1.125,-0.025490447878837585,-0.004601942375302315,0.625,0.9840127229690552,0.0015339808305725455,-0.9375,0.09969677031040192,0.0,0.0625,0.012223909609019756,0.0,-0.08124999701976776,-0.02298574335873127,0.0,0.0625,0.2791126072406769,0.0,2.0,-0.13008876144886017,0.0,-1.3125,-0.0057284594513475895,0.015339808538556099,0.1875,0.9817597270011902,0.0,-0.5,-0.2069436013698578,0.004601942375302315,0.0625,-0.01661013625562191,0.006135923322290182,0.09375,0.02960103563964367,0.012271846644580364,-0.08749999850988388,-0.2777681350708008,0.009817477315664291,-3.603515625,-0.003499181941151619,0.0,0.17578125,0.03389488905668259,0.029140764847397804,-4.865944862365723,0.6430788040161133,-0.002181661780923605,-11.07421875,-0.45088744163513184,4.424013968673535e-05,8.995558738708496,-0.003946809098124504,0.005587851162999868,-0.07121964544057846,-0.2489207684993744,-0.007635816000401974,-7.119140625,-0.00013635384675581008,0.01636246219277382,-0.263671875,-0.008932393975555897,0.0051424880512058735,1.5101207494735718,0.6202139854431152,0.0,-4.658203125,-0.49375542998313904,6.189791747601703e-05,11.473945617675781,0.0072002229280769825,-0.007412808481603861,-0.47326651215553284,0.0014463247498497367,0.0,-0.5033735632896423,0.027608722448349,0.11105450987815857,0.00024686113465577364,-0.010652642697095871,0.004261057358235121,-0.01810949295759201
0.18015571699970678,5.0,0.27896878123283386,-0.0076699042692780495,1.75,0.12869858741760254,-0.006135923322290182,1.125,-0.02546647936105728,-0.004601942375302315,0.625,0.9840007424354553,0.0076699042692780495,-1.0,0.09968478232622147,-0.016873789951205254,0.0625,0.012223909609019756,0.0,-0.08124999701976776,-0.02298574335873127,-0.006135923322290182,0.0625,0.2791126072406769,-0.004601942375302315,2.0,-0.13008876144886017,-0.004601942375302315,-1.3125,-0.005716475658118725,0.015339808538556099,0.1875,0.98177170753479,0.003067961661145091,-0.5,-0.20693162083625793,-0.00920388475060463,0.0625,-0.016646089032292366,0.0,0.09375,0.02960103563964367,0.0,-0.08749999850988388,-0.27778518199920654,-0.007635816000401974,-3.515625,-0.0035077054053545,-0.002181661780923605,0.17578125,0.03389488905668259,0.03256909176707268,-4.865944862365723,0.643095850944519,0.03272492438554764,-11.07421875,-0.4508875608444214,-0.0055034346878528595,8.995558738708496,-0.0039613558910787106,0.0008465167484246194,-0.07121964544057846,-0.24892929196357727,0.0,-7.119140625,-0.0001448759576305747,0.010908308438956738,-0.263671875,-0.008932393975555897,-0.0017141626449301839,1.4541903734207153,0.6202054619789124,0.002181661780923605,-4.658203125,-0.493759423494339,0.0009614413720555604,11.473945617675781,0.007222000975161791,0.0018359713722020388,-0.47326651215553284,0.0014597165863960981,0.0051424880512058735,-0.5033735632896423,0.027597934007644653,0.11107916384935379,0.00022578577045351267,-0.0031957929022610188,-0.0010652643395587802,-0.01810949295759201
